name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,serialid
SwissCube,Switzerland,Ecole Polytechnique F_d_rale de Lausanne (EPFL),Civil,Technology Development,LEO,Sun-Synchronous,0,714,724,7.05E-04,98.34,99.17,1,"","",2009-09-23,.25-1 yr.,Ecole Polytechnique F_d_rale de Lausanne (EPFL),Switzerland,Sriharikota Launch Station,PSLV,2009-051E,35932,Overall SwissCube project development is primarily to educate students in space technologies and space system engineering,885
Syracuse 3A (Systeme de Radio Communications Utilisant un Satellite),France,Defense Ministry,Military,Communications,GEO,"",47.05,"""35,778""","""35,792""",1.66E-04,0,1436.06,"""3,725""","""1,650""","""5,640""",2005-10-13,12 yrs.,Alcatel Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2005-041B,28885,Military communications; designed to integrate with UK's Skynet and Italy's Sicral.,886
Syracuse 3B (Systeme de Radio Communications Utilisant un Satellite),France,Defense Ministry,Military,Communications,GEO,"",-5.17,"""35,772""","""35,801""",3.44E-04,0.03,1436.09,"""3,750""","""1,658""","",2006-08-11,12 yrs.,Alcatel Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2006-033B,29273,Completes Syracuse III system; voice communication and secure data transmission; can be integrated with NATO and German military satellites.,887
TacSat 4,USA,Naval Research Laboratory,Military,Technology Development,Elliptical,"",0,658,"""11,836""",4.43E-01,63.64,235.16,450,"","""1,000""",2011-09-27,"",Naval Research Laboratory/Johns Hopkins University Applied Physics Laboratory,USA,Kodiak Launch Complex,Minotaur 4,2011-052A,37818,10 Ultra High Frequency (UHF) channels; allows forward deployed troops to communicate using existing hand-held radios without the need to stop and point an antenna towards the satellite,888
TanDEM-X (TerraSAR-X add-on for Digital Elevation Measurement),Germany,German Aerospace Center (DLR)/Astrium,Government,Earth Observation,LEO,Sun-Synchronous,0,505,509,2.91E-04,97.45,94.76,"""1,350""","","",2010-06-21,5 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Dnepr,2010-030A,36605,Will survey all 150 million square kilometers of earth surface. Works with TerraSAR-X for first three years.,889
"""Tango (part of Cluster quartet, Cluster 2 FM8)""",ESA,European Space Agency (and 250 international scientific investigators),Government,Space Physics,Elliptical,Deep Highly Eccentric,0,"""17,313""","""120,961""",6.86E-01,90.7,"""3,442.00""","""1,200""",478,220,2000-08-09,4 yrs.,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-045B,26464,"""Collection of four spacecraft flying in formation around the earth, relaying detailed information about solar wind's affect on our planet in three dimensions.""",890
"""TDRS-10 (Tracking and Data Relay Satellite, TDRS-J)""",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,"",-40.75,"""35,768""","""35,802""",4.03E-04,1.64,1436.04,"""3,180""","""1,600""","""2,300 (EOL)""",2002-12-04,11 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,2002-055A,27566,"""Tracking and communications with space shuttle, other missions.""",891
"""TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) """,USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,"",84.41,"""35,693""","""35,878""",2.19E-03,11.53,1436.06,"""3,180""","""1,600""","""1,800""",1988-09-29,10 yrs.,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 26),1988-091B,19548,Backup; still partially operational.,892
"""TDRS-5 (Tracking and Data Relay Satellite, TDRS-E)""",USA,SES Americom (SES [Soci_t_ Europ_enne des Satellites (SES)]),Government/Commercial,Communications,GEO,"",-167.14,"""35,773""","""35,796""",2.73E-04,9.4,1436.99,"""3,180""","""1,600""","""1,800""",1991-08-02,10 yrs.,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 43),1991-054B,21639,"""Tracking and communications with space shuttle, other missions; leased access to C-band by Americom.""",893
"""TDRS-6 (Tracking and Data Relay Satellite, TDRS-F)""",USA,NASA/SES Americom (SES [Soci_t_ Europ_enne des Satellites (SES)]),Government/Commercial,Communications,GEO,"",-171.35,"""35,773""","""35,787""",1.66E-04,8.74,1435.7,"""3,180""","""1,600""","""1,800""",1993-01-13,10 yrs.,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 54),1993-003B,22314,"""Tracking and communications with space shuttle, other missions; leased access to C-band by Americom.""",894
