name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,serialid
GIOVE-B (Galileo In-Orbit Validation Element-B),ESA,European Space Agency,Commercial,Demonstration for Navigation/Global Positioning,MEO,"",0,"""23,105""","""23,244""",2.35E-03,55.98,842.66,530,"","",2008-04-26,"",Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2008-020A,32781,"""Test version of 30-satellite (27 active, 3 spares) Galileo constellation. Will be used for radiation monitoring to protect Galileo system.""",272
Globalstar M004 (Globalstar 4),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,"""1,248""","""1,262""",9.18E-04,51.9,110.62,450,350,"""1,500""",1998-02-14,10 yrs.,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1998-008B,25163,"",273
Globalstar M006 (Globalstar 6),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,"""1,396""","""1,426""",1.93E-03,52,114.02,450,350,"""1,500""",1998-04-24,10 yrs.,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1998-023B,25307,"",274
Globalstar M023 (Globalstar 9),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,"""1,405""","""1,410""",3.21E-04,52,113.95,450,350,"""1,500""",1999-02-09,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-004A,25621,"",275
Globalstar M025 (Globalstar 21),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,"""1,413""","""1,413""",0.00E+00,52,114.07,450,350,"""1,500""",1999-06-10,10 yrs.,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-031A,25770,"",276
Globalstar M026 (Globalstar 29),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,"""1,412""","""1,414""",1.28E-04,52,114.07,450,350,"""1,500""",1999-07-25,10 yrs.,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-041A,25872,"",277
Globalstar M027 (Globalstar 34),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,"""1,412""","""1,414""",1.28E-04,52,114.07,450,350,"""1,500""",1999-08-17,10 yrs.,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-043B,25884,"",278
Globalstar M028 (Globalstar 30),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,"""1,413""","""1,413""",0.00E+00,52,114.07,450,350,"""1,500""",1999-07-25,10 yrs.,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-041B,25873,"",279
Globalstar M029 (Globalstar 47),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,900,942,2.88E-03,51.9,103.44,450,350,"""1,500""",1999-11-22,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-062C,25963,"",280
Globalstar M031 (Globalstar 44),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,892,948,3.84E-03,51.9,103.41,450,350,"""1,500""",1999-10-18,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-058D,25946,"",281
Globalstar M032 (Globalstar 26),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,"""1,413""","""1,413""",0.00E+00,52,114.07,450,350,"""1,500""",1999-07-10,10 yrs.,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-037B,25852,"",282
Globalstar M033 (Globalstar 39),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,899,956,3.91E-03,51.9,103.57,450,350,"""1,500""",1999-09-22,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-049C,25909,"",283
Globalstar M037 (Globalstar 16),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,"""1,410""","""1,412""",1.29E-04,52,114.02,450,350,"""1,500""",1999-03-15,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-012D,25652,"",284
Globalstar M038 (Globalstar 12),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,"""1,412""","""1,414""",1.28E-04,52,114.07,450,350,"""1,500""",1999-02-09,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-004D,25624,"",285
Globalstar M039 (Globalstar 45),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,897,941,3.02E-03,51.9,103.39,450,350,"""1,500""",1999-11-22,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-062A,25961,"",286
Globalstar M040 (Globalstar 10),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,"""1,388""","""1,401""",8.37E-04,51.9,113.66,450,350,"""1,500""",1999-02-09,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-004B,25622,"",287
Globalstar M045 (Globalstar 17),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,904,943,2.67E-03,51.9,103.49,450,350,"""1,500""",1999-04-15,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-019A,25676,"",288
Globalstar M047 (Globalstar 23),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,"""1,413""","""1,414""",6.42E-05,52,114.08,450,350,"""1,500""",1999-06-10,10 yrs.,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-031C,25772,"",289
Globalstar M052 (Globalstar 24),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,"""1,412""","""1,414""",1.28E-04,51.9,114.07,450,350,"""1,500""",1999-06-10,10 yrs.,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-031D,25773,"",290
Globalstar M056 (Globalstar 43),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,897,948,3.50E-03,51.9,103.47,450,350,"""1,500""",1999-10-18,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-058C,25945,"",291
Globalstar M059 (Globalstar 42),USA,Globalstar ,Commercial,Communications,LEO,Intermediate,0,"""1,412""","""1,414""",1.28E-04,52,114.07,450,350,"""1,500""",1999-10-18,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-058B,25944,"",292
Globalstar M063 (Globalstar 49),USA,Globalstar  ,Commercial,Communications,LEO,Intermediate,0,913,931,1.23E-03,52,103.46,450,350,"""1,500""",2000-02-08,10 yrs.,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,2000-008A,26081,"""Global M0bile satellite telecommunications services, offering both voice and data services from virtually anywhere in over 100 countries around the world.; went through Chapter 11 in 2002; acquired by ICO Global Communications (majority shareholder in 2003. In 2002 awarded contract to Space Systems/Loral for second generation constellation.""",293
Globalstar M065 (Globalstar 65),USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,"""1,414""","""1,415""",6.42E-05,52,114.1,450,350,"""1,500""",2007-05-29,10 yrs.,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat ,2007-020A,31571,"",294
Globalstar M066 (Globalstar 66),USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,917,935,1.23E-03,51.98,103.53,450,350,"""1,500""",2007-10-20,10 yrs.,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048C,32265,"",295
Globalstar M068 (Globalstar 68),USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,914,937,1.58E-03,51.98,103.53,450,350,"""1,500""",2007-10-20,10 yrs.,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048D,32266,"",296
Globalstar M069 (Globalstar 69),USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,"""1,413""","""1,415""",1.28E-04,52,114.08,450,350,"""1,500""",2007-05-29,10 yrs.,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat ,2007-020C,31573,"",297
Globalstar M070 (Globalstar 70),USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,"""1,413""","""1,415""",1.28E-04,51.98,114.09,450,350,"""1,500""",2007-10-20,10 yrs.,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048B,32264,"",298
Globalstar M071 (Globalstar 71),USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,"""1,413""","""1,414""",6.42E-05,52,114.08,450,350,"""1,500""",2007-05-29,10 yrs.,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-020F,31576,"",299
Globalstar M072 (Globalstar 72),USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,"""1,413""","""1,415""",1.28E-04,52,114.08,450,350,"""1,500""",2007-05-29,10 yrs.,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-020D,31574,"",300
"""Globalstar M073 (Globalstar 73, Globalstar 2-6)""",USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,917,926,6.17E-04,52,103.45,700,"","""1,700""",2010-10-19,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054F,37193,"",301
"""Globalstar M074 (Globalstar 74, Globalstar 2-2)""",USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,920,927,4.80E-04,52.01,103.48,700,"","""1,700""",2010-10-19,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054B,37189,"",302
"""Globalstar M075 (Globalstar 75, Globalstar 2-5)""",USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,986,"""1,012""",1.76E-03,52.01,105.1,700,"","""1,700""",2010-10-19,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054E,37192,"",303
"""Globalstar M076 (Globalstar 76, Globalstar 2-3)""",USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,914,926,8.23E-04,52.01,103.41,700,"","""1,700""",2010-10-19,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054C,37190,"",304
"""Globalstar M077 (Globalstar 77, Globalstar 2-4)""",USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,915,926,7.54E-04,52,103.42,700,"","""1,700""",2010-10-19,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054D,37191,"",305
"""Globalstar M079 (Globalstar 79, Globalstar 2-1)""",USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,920,926,4.11E-04,52,103.47,700,"","""1,700""",2010-10-19,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054A,37188,First of second generation.,306
"""Globalstar M080 (Globalstar 80, Globalstar 2-14)""",USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,918,922,2.74E-04,52,103.42,700,"","""1,700""",2011-12-28,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080B,38041,"",307
"""Globalstar M081 (Globalstar 81, Globalstar 2-11)""",USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,918,931,8.91E-04,52,103.54,700,"","""1,700""",2011-07-13,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033E,37743,"",308
"""Globalstar M082 (Globalstar 82, Globalstar 2-15)""",USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,918,922,2.74E-04,52,103.42,700,"","""1,700""",2011-12-28,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080C,38042,"",309
"""Globalstar M083 (Globalstar 83, Globalstar 2-7)""",USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,919,932,8.91E-04,52,103.54,700,"","""1,700""",2011-07-13,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033A,37739,"",310
"""Globalstar M084 (Globalstar 84, Globalstar 2-13) """,USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,918,922,2.74E-04,52,103.42,700,"","""1,700""",2011-12-28,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080A,38040,Continuation of second generation.,311
"""Globalstar M085 (Globalstar 85, Globalstar 2-10)""",USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,916,932,1.10E-03,52,103.54,700,"","""1,700""",2011-07-13,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033D,37742,"",312
"""Globalstar M086 (Globalstar 86, Globalstar 2-18)""",USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,918,922,2.74E-04,52,103.42,700,"","""1,700""",2011-12-28,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080F,38045,"",313
"""Globalstar M088 (Globalstar 88, Globalstar 2-8)""",USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,920,932,8.22E-04,52,103.54,700,"","""1,700""",2011-07-13,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033B,37740,"",314
"""Globalstar M089 (Globalstar 89, Globalstar 2-12)""",USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,917,932,1.03E-03,52,103.54,700,"","""1,700""",2011-07-13,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033F,27744,"",315
"""Globalstar M090 (Globalstar 90, Globalstar 2-17)""",USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,918,922,2.74E-04,52,103.42,700,"","""1,700""",2011-12-28,15  yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080E,38044,"",316
"""Globalstar M091 (Globalstar 91, Globalstar 2-9)""",USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,919,932,8.91E-04,52,103.54,700,"","""1,700""",2011-07-13,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033C,37741,"",317
"""Globalstar M092 (Globalstar 92, Globalstar 2-16)""",USA,Globalstar,Commercial,Communications,LEO,Intermediate,0,918,922,2.74E-04,52,103.42,700,"","""1,700""",2011-12-28,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080D,38043,"",318
"""Glonass 701 (Glonass-K, Cosmos 2471)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,116""","""19,146""",6.48E+01,64.77,675.78,935,"","""1,700""",2011-02-26,10 yrs.,OAO-ISS,Russia,Plesetsk Cosmodrome,Soyuz 2,2011-009A,37372,"""Next generation. Will transmit more navigation signals. Five channels, four in L1 andL2 bands and one for civilian aplications in the L3 band.""",319
"""Glonass 712 (Uragan M, Cosmos 2413)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,134""","""19,141""",1.37E-04,64.8,676.1,"""1,480""","","""1,600""",2004-12-26,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2004-053A,28509,"""New Glonass-M type; Russia's version of the GPS system, functions the same; there has been cooperation between the two; much scaled-back constellation""",320
Glonass 714 (Cosmos 2419),Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,118""","""19,125""",1.37E-04,64.8,675.39,"""1,480""","","""1,600""",2005-12-25,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2005-050A,28915,"""New Glonass-M type; Russia's version of the GPS system, functions the same; there has been cooperation between the two; much scaled-back constellation""",321
"""Glonass 715 (Glonass 35-1, Cosmos 2424)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,130""","""19,130""",0.00E+00,64.8,675.75,"""1,480""","","""1,600""",2006-12-25,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2006-062C,29672,"",322
"""Glonass 716 (Glonass 35-2, Cosmos 2425)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,130""","""19,130""",0.00E+00,64.8,675.75,"""1,480""","","""1,600""",2006-12-25,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2006-062A,29670,"",323
"""Glonass 717 (Glonass 35-3, Cosmos 2426)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,130""","""19,130""",0.00E+00,64.8,675.75,"""1,480""","","""1,600""",2006-12-25,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2006-062B,29671,"",324
"""Glonass 718 (Glonass 36-1, Cosmos 2431)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,083""","""19,177""",1.84E-03,64.9,675.75,"""1,480""","","""1,600""",2007-10-26,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2007-052C,32277,"",325
"""Glonass 719 (Glonass 36-2, Cosmos 2432)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,094""","""19,171""",1.51E-03,64.9,675.83,"""1,480""","","""1,600""",2007-10-26,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2007-052B,32276,"",326
"""Glonass 720 (Glonass 36-3, Cosmos 2433)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,124""","""19,133""",1.76E-04,64.9,675.67,"""1,480""","","""1,600""",2007-10-26,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2007-052A,32275,"",327
"""Glonass 721 (Glonass 37-1, Cosmos 2434)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,142""","""19,378""",4.60E-03,64.66,680.91,"""1,480""","","""1,600""",2007-12-25,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2007-065A,32393,"",328
"""Glonass 722 (Glonass 37-2, Cosmos 2435)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""18,981""","""19,126""",2.85E-03,64.65,672.7,"""1,480""","","""1,600""",2007-12-25,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2007-065B,32394,"",329
"""Glonass 723 (Glonass 37-3, Cosmos 2436)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,147""","""19,365""",4.25E-03,64.67,680.75,"""1,480""","","""1,600""",2007-12-25,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2007-065C,32395,"",330
"""Glonass 724 (Glonass 38-1, Cosmos 2442)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,092""","""19,141""",9.61E-04,64.79,675.2,"""1,480""","","""1,600""",2008-09-25,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2008-046A,33378,"",331
"""Glonass 725 (Glonass 38-2, Cosmos 2443)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,134""","""19,145""",2.16E-04,64.79,676.1,"""1,480""","","""1,600""",2008-09-25,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2008-046B,33379,"",332
"""Glonass 726 (Glonass 38-3, Cosmos 2444)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,136""","""19,141""",9.80E-05,64.82,676.07,"""1,480""","","""1,600""",2008-09-25,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2008-046C,33380,"",333
"""Glonass 727 (Glonass 39-1, Cosmos 2447)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,112""","""19,142""",5.88E-04,64.83,675.62,"""1,415""","","""1,000""",2008-12-25,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2008-067A,33466,"",334
"""Glonass 728 (Glonass 39-2, Cosmos 2448)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""18,880""","""19,129""",4.91E-03,64.79,670.75,"""1,415""","","""1,000""",2008-12-25,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2008-067C,33468,"",335
"""Glonass 729 (Glonass 39-3, Cosmos 2449)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""18,922""","""19,135""",4.19E-03,64.79,671.71,"""1,415""","","""1,000""",2008-12-25,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2008-067B,33467,"",336
"""Glonass 730 (Glonass 41-1, Cosmos 2456)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,132""","""19,419""",5.60E-03,64.81,681.53,"""1,415""","","""1,000""",2009-12-14,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2009-070A,36111,"",337
"""Glonass 731 (Glonass 42-1, Cosmos 2459)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,119""","""19,146""",5.29E-04,64.76,675.85,"""1,415""","","""1,000""",2010-03-01,7 yrs.,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2010-007A,36400,"",338
"""Glonass 732 (Glonass 42-3, Cosmos 2460)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,131""","""19,133""",3.92E-05,64.77,675.81,"""1,415""","","""1,000""",2010-03-01,7 yrs.,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2010-007C,36402,"",339
"""Glonass 733 (Glonass 41-2, Cosmos 2457)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""18,864""","""19,130""",5.24E-03,64.78,670.47,"""1,415""","","""1,000""",2009-12-14,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2009-070B,36112,"",340
"""Glonass 734 (Glonass 41-3, Cosmos 2458)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,098""","""19,129""",6.08E-04,64.8,675.08,"""1,415""","","""1,000""",2009-12-14,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2009-070C,36113,"",341
"""Glonass 735 (Glonass 42-2, Cosmos 2461)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,128""","""19,135""",1.37E-04,64.77,675.81,"""1,415""","","""1,000""",2010-03-01,7 yrs.,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2010-007B,36401,"",342
"""Glonass 736 (Glonass 43-1, Cosmos 2464)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""18,909""","""19,123""",4.21E-03,64.82,671.2,"""1,415""","","""1,000""",2010-09-02,7 yrs.,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2010-041C,37139,"",343
"""Glonass 737 (Glonass 43-2, Cosmos 2465)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,116""","""19,380""",5.15E-03,64.84,680.43,"""1,415""","","""1,000""",2010-09-02,7 yrs.,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2010-041B,37138,"",344
"""Glonass 738 (Glonass 43-3, Cosmos 2466)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,079""","""19,175""",1.88E-03,64.84,675.61,"""1,415""","","""1,000""",2010-09-02,7 yrs.,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2010-041C,37137,"",345
"""Glonass 742 (Glonass-M, Cosmos 2474)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,126""","""19,158""",6.48E+01,64.82,676.2,"""1,415""","","""1,000""",2011-10-02,10 yrs.,OAO-ISS,Russia,Plesetsk Cosmodrome,Soyuz 2,2011-055A,37829,"",346
"""Glonass 743 (Glonass 44-2, Cosmos 2476)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,142""","""19,204""",6.48E+01,64.8,677.46,"""1,415""","","""1,000""",2011-11-04,10 yrs.,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2011-064A,37867,"",347
"""Glonass 744 (Glonass 44-3, Cosmos 2477)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,150""","""19,199""",6.48E+01,64.8,677.5,"""1,415""","","""1,000""",2011-11-04,10 yrs.,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2011-064B,37868,"",348
"""Glonass 745 (Glonass 44-1, Cosmos 2475)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,139""","""19,212""",6.48E+01,64.78,677.54,"""1,415""","","""1,000""",2011-11-04,10 yrs.,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2011-064C,37869,"",349
"""Glonass 746 (Glonass-M, Cosmos 2478)""",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""19,130""","""19,162""",6.48E+01,64.82,676.38,"""1,415""","","""1,000""",2011-11-27,10 yrs.,OAO-ISS,Russia,Plesetsk Cosmodrome,Soyuz 2,2011-071A,37938,"",350
GOCE (Gravity Field and Steady-State Ocean Circulation Explorer),ESA,European Space Operations Centre,Government,Earth Science,LEO,Sun-Synchronous,0,273,290,1.28E-03,96.71,90.14,"""1,100""","","""1,300""",2009-03-17,"",Alenia Aerospazio,Italy,Plesetsk Cosmodrome,Rokot,2009-013A,34602,Mapping of the Earth's gravity field.,351
"""GOES 11 (Geostationary Operational Environmental Satellite, GOES L)""",USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Science/Meteorology,GEO,"",-135.53,"""35,761""","""35,811""",5.93E-04,0.06,1436.11,"""2,105""",977,"",2000-05-03,5 yrs.,NASA,USA,Cape Canaveral,Atlas 2A,2000-022A,26352,Same as other GOES; orbit spare.,352
"""GOES 12 (Geostationary Operational Environmental Satellite, GOES-M)""",USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Science/Meteorology,GEO,"",-74.87,"""35,782""","""35,791""",1.07E-04,0.42,1436.09,"""2,105""",977,"",2001-07-23,5 yrs.,NASA,USA,Cape Canaveral,Atlas 2A,2001-031A,26871,"""Carries an IR imager, a """"sounder,"""" and an X-ray imager.""",353
"""GOES 13 (Geostationary Operational Environmental Satellite, GOES-N)""",USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Science/Meteorology,GEO,"",-104.77,"""35,768""","""35,801""",3.91E-04,0.28,1436,"""3,200""","""1,533""","""2,300""",2006-05-24,7 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2006-018A,29155,"""Will supply data critical for fast, accurate forecasts and warnings for severe weather, including tornadoes, winter storms and hurricanes.""",354
"""GOES 14 (Geostationary Operational Environmental Satellite, GOES-O)""",USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Science/Meteorology,GEO,"",-89.5,"""35,170""","""35,170""",0.00E+00,0,1436,"""3,200""","""1,533""","""2,300""",2009-06-27,10 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2009-033A,35491,Spare.,355
