Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Borough,Latitude,Longitude
32271640,12/25/2015 16:04,12/25/2015 17:23,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10040,76 THAYER STREET,THAYER STREET,SHERMAN AVENUE,BROADWAY,,,ADDRESS,NEW YORK,Precinct,12/26/2015 0:04,12/25/2015 17:23,12 MANHATTAN,MANHATTAN,1004323,254067,MANHATTAN,40.86400706,-73.92742915
32272579,12/25/2015 16:04,12/29/2015 8:30,DOT,Department of Transportation,Street Condition,Pothole,,11207,513 PENNSYLVANIA AVENUE,PENNSYLVANIA AVENUE,LIVONIA AVENUE,RIVERDALE AVENUE,,,ADDRESS,BROOKLYN,N/A,,12/29/2015 8:30,05 BROOKLYN,BROOKLYN,1013668,181385,BROOKLYN,40.66448778,-73.89396185
32271380,12/25/2015 16:03,12/25/2015 17:35,NYPD,New York City Police Department,Animal Abuse,Neglected,Residential Building/House,10013,375 BROOME STREET,BROOME STREET,MOTT STREET,MULBERRY STREET,,,ADDRESS,NEW YORK,Precinct,12/26/2015 0:03,12/25/2015 17:35,02 MANHATTAN,MANHATTAN,985270,201697,MANHATTAN,40.72028834,-73.9963203
32271607,12/25/2015 16:03,12/25/2015 16:16,NYPD,New York City Police Department,Animal Abuse,Other (complaint details),Street/Sidewalk,11209,,,,,90 STREET,3 AVENUE,INTERSECTION,BROOKLYN,Precinct,12/26/2015 0:03,12/25/2015 16:16,10 BROOKLYN,BROOKLYN,975312,165411,BROOKLYN,40.62068694,-74.03219617
32271124,12/25/2015 16:03,12/25/2015 16:04,DHS,Operations Unit - Department of Homeless Services,Homeless Person Assistance,No Status Call,,10001,420 7 AVENUE,7 AVENUE,WEST 33 STREET,WEST 34 STREET,,,ADDRESS,NEW YORK,N/A,12/25/2015 18:03,,05 MANHATTAN,MANHATTAN,986739,212692,MANHATTAN,40.75046661,-73.99101674
32271066,12/25/2015 16:03,12/26/2015 12:00,DSNY,Brooklyn North 03,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11216,337 MONROE STREET,MONROE STREET,MARCY AVENUE,TOMPKINS AVENUE,,,ADDRESS,BROOKLYN,DSNY Garage,,12/26/2015 12:00,03 BROOKLYN,BROOKLYN,999531,189257,BROOKLYN,40.68613033,-73.94490127
32272974,12/25/2015 16:03,12/26/2015 12:00,DSNY,Queens East 10,Other Enforcement,E10 Street Obstruction,Sidewalk,11417,84-16 SUTTER AVENUE,SUTTER AVENUE,84 STREET,85 STREET,,,ADDRESS,Ozone Park,N/A,,12/26/2015 12:00,10 QUEENS,QUEENS,1025238,185454,QUEENS,40.67561026,-73.85223273
32272604,12/25/2015 16:02,12/29/2015 22:10,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,,,,,BROADWAY,102 ST W,INTERSECTION,,N/A,,12/29/2015 22:10,Unspecified MANHATTAN,MANHATTAN,,,MANHATTAN,,
32277315,12/25/2015 16:01,12/26/2015 18:04,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11368,98-23 HORACE HARDING EXPRESSWAY,HORACE HARDING EXPRESSWAY,,,,,ADDRESS,Corona,N/A,,12/26/2015 18:04,04 QUEENS,QUEENS,1023070,207327,QUEENS,40.73565618,-73.85992255
32270741,12/25/2015 16:01,12/26/2015 12:00,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11216,98 BROOKLYN AVENUE,BROOKLYN AVENUE,DEAN STREET,BERGEN STREET,,,ADDRESS,BROOKLYN,DSNY Garage,,12/26/2015 12:00,08 BROOKLYN,BROOKLYN,999693,185733,BROOKLYN,40.67645747,-73.94432522
