Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Borough,Latitude,Longitude
32272242,12/25/2015 15:04,12/28/2015 14:52,DOT,Department of Transportation,Sidewalk Condition,Defective Hardware,Sidewalk,10003,32 EAST 20 STREET,EAST 20 STREET,BROADWAY,PARK AVENUE SOUTH,,,ADDRESS,NEW YORK,N/A,1/4/2016 15:04,12/28/2015 14:52,05 MANHATTAN,MANHATTAN,987345,208431,MANHATTAN,40.73877104,-73.98883154
32271406,12/25/2015 15:04,12/28/2015 11:28,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10024,345 WEST   88 STREET,WEST   88 STREET,WEST END AVE,RIVERSIDE DR,,,ADDRESS,NEW YORK,N/A,,12/28/2015 11:28,07 MANHATTAN,MANHATTAN,990326,227345,MANHATTAN,40.79068353,-73.97805735
32272363,12/25/2015 15:04,12/28/2015 10:53,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11235,2566 EAST   21 STREET,EAST   21 STREET,AVE Y,AVE Z,,,ADDRESS,BROOKLYN,N/A,,12/28/2015 10:53,15 BROOKLYN,BROOKLYN,998546,154126,BROOKLYN,40.5897049,-73.94852731
32271766,12/25/2015 15:03,1/6/2016 14:40,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11237,270 BLEECKER STREET,BLEECKER STREET,MYRTLE AVE,IRVING AVE,,,ADDRESS,BROOKLYN,N/A,,1/6/2016 14:40,04 BROOKLYN,BROOKLYN,1007247,194078,BROOKLYN,40.69934617,-73.91706322
32272597,12/25/2015 15:01,12/30/2015 0:00,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Other (Explain Below),10467,3176 BAINBRIDGE AVENUE,BAINBRIDGE AVENUE,EAST 206 STREET,EAST 207 STREET,,,ADDRESS,BRONX,N/A,1/8/2016 15:01,12/30/2015 15:30,07 BRONX,BRONX,1017575,258224,BRONX,40.87537667,-73.87949795
32273173,12/25/2015 15:01,1/2/2016 12:00,DSNY,A - Brooklyn,Dirty Conditions,E1 Improper Disposal,Sidewalk,11214,150 BAY   22 STREET,BAY   22 STREET,BENSON AVENUE,BATH AVENUE,,,ADDRESS,BROOKLYN,N/A,,1/2/2016 12:00,11 BROOKLYN,BROOKLYN,983497,158826,BROOKLYN,40.60261695,-74.0027117
32273164,12/25/2015 15:00,12/29/2015 9:52,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11378,60-45 69 STREET,69 STREET,60 DR,60 RD,69 STREET,60 DRIVE,INTERSECTION,Maspeth,N/A,,12/29/2015 9:52,05 QUEENS,QUEENS,1014251,201688,QUEENS,40.72021282,-73.89176999
32272693,12/25/2015 14:58,1/10/2016 1:06,DCA,Department of Consumer Affairs,Consumer Complaint,False Advertising,,10003,,,,,EAST   14 STREET,2 AVENUE,INTERSECTION,NEW YORK,N/A,1/12/2016 11:33,1/10/2016 1:06,03 MANHATTAN,MANHATTAN,988424,206091,MANHATTAN,40.73234787,-73.98493936
32272768,12/25/2015 14:58,12/28/2015 10:00,DEP,Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking - Private Residence (CMR),,11362,240-31 65 AVENUE,65 AVENUE,240 ST,242 ST,,,ADDRESS,Little Neck,N/A,,12/28/2015 10:00,11 QUEENS,QUEENS,1056673,213769,QUEENS,40.75312646,-73.73860123
32277135,12/25/2015 14:55,1/5/2016 20:37,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10468,2719 MORRIS AVENUE,MORRIS AVENUE,,,,,ADDRESS,BRONX,N/A,,1/5/2016 20:37,07 BRONX,BRONX,1013153,255563,BRONX,40.86808863,-73.89549921
32273079,12/25/2015 14:54,,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10459,1001 EAST  163 STREET,EAST  163 STREET,,,,,ADDRESS,BRONX,N/A,1/10/2016 9:04,1/5/2016 9:04,02 BRONX,BRONX,1013800,238402,BRONX,40.82098461,-73.89323557
32272102,12/25/2015 14:54,12/29/2015 13:30,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10452,1563 WALTON AVENUE,WALTON AVENUE,E 172 ST,ROCKWOOD ST,,,ADDRESS,BRONX,N/A,,12/29/2015 13:30,04 BRONX,BRONX,1007986,246051,BRONX,40.84199645,-73.91421452
32271050,12/25/2015 14:54,12/25/2015 14:54,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11412,112-07 205 STREET,205 STREET,112 AVE,112 RD,,,ADDRESS,Saint Albans,N/A,,12/25/2015 14:54,12 QUEENS,QUEENS,1053197,195737,QUEENS,40.703661,-73.75133196
32272325,12/25/2015 14:53,12/28/2015 12:00,DSNY,A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,11223,2450 EAST    1 STREET,EAST    1 STREET,AVENUE X,AVENUE Y,,,ADDRESS,BROOKLYN,N/A,,12/28/2015 12:00,15 BROOKLYN,BROOKLYN,992831,154075,BROOKLYN,40.58957229,-73.96910421
32272222,12/25/2015 14:52,12/25/2015 18:28,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11204,,,,,21 AVENUE,57 STREET,INTERSECTION,BROOKLYN,Precinct,12/25/2015 22:52,12/25/2015 18:28,12 BROOKLYN,BROOKLYN,990104,165071,BROOKLYN,40.61975629,-73.97891321
32273106,12/25/2015 14:52,12/25/2015 15:26,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11417,94-45 SUTTER AVENUE,SUTTER AVENUE,BEND,96 STREET,,,ADDRESS,OZONE PARK,Precinct,12/25/2015 22:52,12/25/2015 15:26,10 QUEENS,QUEENS,1027896,185959,QUEENS,40.67698366,-73.84264704
32272841,12/25/2015 14:52,12/26/2015 12:00,DSNY,BCC - Queens West,Missed Collection (All Materials),1 Missed Collection,Sidewalk,11105,22-46 31 STREET,31 STREET,AMTRAK RAILROAD,,,,ADDRESS,Astoria,DSNY Garage,,12/26/2015 12:00,01 QUEENS,QUEENS,1008655,221704,QUEENS,40.77516889,-73.91188517
32271405,12/25/2015 14:52,12/27/2015 12:00,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10306,,,,,BRYANT AVENUE,RICHMOND ROAD,INTERSECTION,STATEN ISLAND,N/A,,12/27/2015 12:00,02 STATEN ISLAND,STATEN ISLAND,952187,150108,STATEN ISLAND,40.57862984,-74.11542357
32271596,12/25/2015 14:51,12/25/2015 15:15,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11368,35-28 99 STREET,99 STREET,35 AVENUE,37 AVENUE,,,ADDRESS,CORONA,Precinct,12/25/2015 22:51,12/25/2015 15:15,03 QUEENS,QUEENS,1020640,213709,QUEENS,40.75318348,-73.86865638
32272853,12/25/2015 14:51,12/25/2015 20:55,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10036,1567 BROADWAY,BROADWAY,WEST 46 STREET,WEST 47 STREET,,,ADDRESS,NEW YORK,Precinct,12/25/2015 22:51,12/25/2015 20:55,05 MANHATTAN,MANHATTAN,988359,215891,MANHATTAN,40.75924644,-73.98516791
32272199,12/25/2015 14:51,,DOT,Department of Transportation,Street Light Condition,Lamppost Wire Exposed,,,,,,,BARTEL PRITCHARD SQR,PROSPECT PARK S/W,INTERSECTION,,N/A,,12/28/2015 11:49,Unspecified BROOKLYN,BROOKLYN,,,BROOKLYN,,
32270747,12/25/2015 14:51,12/28/2015 9:00,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,10026,,,,,WEST 118 STREET,8 AVENUE,INTERSECTION,NEW YORK,N/A,,12/28/2015 9:00,10 MANHATTAN,MANHATTAN,996870,232828,MANHATTAN,40.80572595,-73.95441428
32272068,12/25/2015 14:51,12/26/2015 12:00,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11225,487 MONTGOMERY STREET,MONTGOMERY STREET,CLOVE ROAD,NEW YORK AVENUE,,,ADDRESS,BROOKLYN,DSNY Garage,,12/26/2015 12:00,09 BROOKLYN,BROOKLYN,998458,181664,BROOKLYN,40.66529104,-73.94878619
32272538,12/25/2015 14:50,12/25/2015 17:14,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11377,,,,,GARFIELD AVENUE,70 STREET,INTERSECTION,WOODSIDE,Precinct,12/25/2015 22:50,12/25/2015 17:14,02 QUEENS,QUEENS,1013579,207797,QUEENS,40.73698278,-73.89416763
32270712,12/25/2015 14:50,12/25/2015 14:50,DOB,Department of Buildings,Plumbing,Failure To Retain Water/Improper Drainage- (LL103/89),,11357,2-15 147 STREET,147 STREET,,,,,ADDRESS,Whitestone,N/A,,12/25/2015 0:00,07 QUEENS,QUEENS,1033243,229465,QUEENS,40.79636863,-73.8230532
32272412,12/25/2015 14:49,12/28/2015 11:00,DEP,Department of Environmental Protection,Industrial Waste,Wastewater Into Catch Basin (IEB),,10455,824 EAST  149 STREET,EAST  149 STREET,TINTON AVE,UNION AVE,,,ADDRESS,BRONX,N/A,,12/28/2015 11:00,01 BRONX,BRONX,1010378,235310,BRONX,40.81250873,-73.90561131
32273108,12/25/2015 14:49,12/29/2015 10:00,DEP,Department of Environmental Protection,Air Quality,"Air: Smoke, Chimney or vent (AS1)",,10021,261 EAST   71 STREET,EAST   71 STREET,3 AVE,2 AVE,,,ADDRESS,NEW YORK,N/A,,12/29/2015 10:00,08 MANHATTAN,MANHATTAN,995453,219236,MANHATTAN,40.76842146,-73.95955541
32270773,12/25/2015 14:48,12/25/2015 18:09,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11423,203-16 100 AVENUE,100 AVENUE,203 STREET,204 STREET,,,ADDRESS,HOLLIS,Precinct,12/25/2015 22:48,12/25/2015 18:09,12 QUEENS,QUEENS,1051750,198496,QUEENS,40.71124493,-73.75652311
32270855,12/25/2015 14:46,1/12/2016 16:35,DOT,Department of Transportation,Street Condition,Plate Condition - Noisy,Street,10463,3785 SEDGWICK AVENUE,SEDGWICK AVENUE,GILES PLACE,WEST 238 STREET,,,ADDRESS,BRONX,N/A,1/4/2016 14:46,1/12/2016 16:35,08 BRONX,BRONX,1012892,260531,BRONX,40.8817251,-73.89642164
32273835,12/25/2015 14:45,1/19/2016 10:12,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,11226,65 EAST   19 STREET,EAST   19 STREET,,,,,ADDRESS,BROOKLYN,N/A,,1/19/2016 10:12,14 BROOKLYN,BROOKLYN,994843,175359,BROOKLYN,40.64799026,-73.96182663
32273435,12/25/2015 14:45,12/30/2015 21:14,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11226,65 EAST   19 STREET,EAST   19 STREET,,,,,ADDRESS,BROOKLYN,N/A,,12/30/2015 21:14,14 BROOKLYN,BROOKLYN,994843,175359,BROOKLYN,40.64799026,-73.96182663
32271043,12/25/2015 14:45,1/6/2016 0:00,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,,71 PLACE,71 PLACE,,,,,ADDRESS,,N/A,,1/6/2016 0:00,Unspecified QUEENS,QUEENS,,,QUEENS,,
32271155,12/25/2015 14:45,12/25/2015 15:06,DOT,Department of Transportation,Traffic Signal Condition,Post,,11101,,,,,GREENPOINT AVENUE,HUNTERS POINT AVENUE,INTERSECTION,Long Island City,N/A,,12/25/2015 15:06,02 QUEENS,QUEENS,1003664,207989,QUEENS,40.73753709,-73.92994489
32271521,12/25/2015 14:44,12/25/2015 21:34,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11423,87-15 204 STREET,204 STREET,BEND,BEND,,,ADDRESS,HOLLIS,Precinct,12/25/2015 22:44,12/25/2015 21:34,08 QUEENS,QUEENS,1049984,202766,QUEENS,40.72297831,-73.76285146
32275564,12/25/2015 14:44,12/26/2015 14:33,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10457,250 EAST  176 STREET,EAST  176 STREET,,,,,ADDRESS,BRONX,N/A,,12/26/2015 14:33,05 BRONX,BRONX,1010551,248029,BRONX,40.84741821,-73.90493648
32277527,12/25/2015 14:44,12/26/2015 18:04,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11368,98-23 HORACE HARDING EXPRESSWAY,HORACE HARDING EXPRESSWAY,,,,,ADDRESS,Corona,N/A,,12/26/2015 18:04,04 QUEENS,QUEENS,1023070,207327,QUEENS,40.73565618,-73.85992255
32272973,12/25/2015 14:43,12/30/2015 12:00,DSNY,BCC - Brooklyn South,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11236,8820 AVENUE J,AVENUE J,EAST 88 STREET,EAST 89 STREET,,,ADDRESS,BROOKLYN,DSNY Garage,,12/30/2015 12:00,18 BROOKLYN,BROOKLYN,1010506,171640,BROOKLYN,40.63774983,-73.90539731
32272031,12/25/2015 14:43,12/30/2015 13:00,DEP,Department of Environmental Protection,Industrial Waste,Wastewater Into Catch Basin (IEB),,11218,285 EAST    8 STREET,EAST    8 STREET,BEVERLY RD,AVENUE C,,,ADDRESS,BROOKLYN,N/A,,12/30/2015 13:00,12 BROOKLYN,BROOKLYN,992162,173469,BROOKLYN,40.64280542,-73.97149021
32272156,12/25/2015 14:42,12/25/2015 16:29,NYPD,New York City Police Department,Drinking,In Public,Park/Playground,11103,,,,,38 STREET,31 AVENUE,INTERSECTION,ASTORIA,Precinct,12/25/2015 22:42,12/25/2015 16:29,01 QUEENS,QUEENS,1006997,216793,QUEENS,40.7616939,-73.91788804
32272330,12/25/2015 14:41,12/30/2015 0:00,DOB,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,11375,92-04 70 AVENUE,70 AVENUE,,,,,ADDRESS,Forest Hills,N/A,,12/30/2015 0:00,06 QUEENS,QUEENS,1025161,198813,QUEENS,40.71227792,-73.85242919
32272106,12/25/2015 14:40,12/25/2015 17:24,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10021,344 EAST 69 STREET,EAST 69 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,Precinct,12/25/2015 22:40,12/25/2015 17:24,08 MANHATTAN,MANHATTAN,995695,218498,MANHATTAN,40.76639553,-73.95868301
32270886,12/25/2015 14:40,12/25/2015 14:57,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11210,3720 AVENUE L,AVENUE L,EAST 37 STREET,EAST 38 STREET,,,ADDRESS,BROOKLYN,Precinct,12/25/2015 22:40,12/25/2015 14:57,18 BROOKLYN,BROOKLYN,1001166,166166,BROOKLYN,40.62274762,-73.93906386
32276036,12/25/2015 14:40,1/14/2016 9:25,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10454,2652 3 AVENUE,3 AVENUE,,,,,ADDRESS,BRONX,N/A,,1/14/2016 9:25,01 BRONX,BRONX,1005293,235389,BRONX,40.81273914,-73.92398087
32272726,12/25/2015 14:39,12/31/2015 11:45,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11206,76 HART STREET,HART STREET,MARCY AVE,TOMPKINS AVE,,,ADDRESS,BROOKLYN,N/A,,12/31/2015 11:45,03 BROOKLYN,BROOKLYN,998575,191837,BROOKLYN,40.69321343,-73.94834283
32270837,12/25/2015 14:37,12/28/2015 9:40,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Chemical Vapors/Gases/Odors,3+ Family Apartment Building,11225,1020 PRESIDENT STREET,PRESIDENT STREET,FRANKLIN AVENUE,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,N/A,1/24/2016 14:37,12/28/2015 9:40,09 BROOKLYN,BROOKLYN,995984,182908,BROOKLYN,40.66870917,-73.95770174
32274407,12/25/2015 14:33,12/29/2015 15:14,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11236,1177 EAST   98 STREET,EAST   98 STREET,,,,,ADDRESS,BROOKLYN,N/A,,12/29/2015 15:14,18 BROOKLYN,BROOKLYN,1012436,173563,BROOKLYN,40.64302212,-73.89843532
32272430,12/25/2015 14:33,12/31/2015 11:45,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11206,76 HART STREET,HART STREET,MARCY AVE,TOMPKINS AVE,,,ADDRESS,BROOKLYN,N/A,,12/31/2015 11:45,03 BROOKLYN,BROOKLYN,998575,191837,BROOKLYN,40.69321343,-73.94834283
32272077,12/25/2015 14:31,12/25/2015 16:22,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10459,1394 PROSPECT AVENUE,PROSPECT AVENUE,RITTER PLACE,JENNINGS STREET,,,ADDRESS,BRONX,Precinct,12/25/2015 22:31,12/25/2015 16:22,03 BRONX,BRONX,1012824,242298,BRONX,40.83168123,-73.89674527
32272837,12/25/2015 14:31,12/28/2015 12:00,DSNY,BCC - Queens East,Missed Collection (All Materials),1 Missed Collection,Sidewalk,11423,86-67 PALO ALTO STREET,PALO ALTO STREET,BEND,BEND,,,ADDRESS,Hollis,DSNY Garage,,12/28/2015 12:00,08 QUEENS,QUEENS,1047220,201358,QUEENS,40.71913381,-73.77283627
32270744,12/25/2015 14:31,1/6/2016 15:03,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11105,22-67 35 STREET,35 STREET,DITMARS BLVD,23 AVE,,,ADDRESS,Astoria,N/A,,1/6/2016 15:03,01 QUEENS,QUEENS,1009105,221185,QUEENS,40.77374311,-73.91026236
32270751,12/25/2015 14:30,12/25/2015 18:20,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11412,112-11 205 STREET,205 STREET,112 AVE,112 RD,,,ADDRESS,Saint Albans,N/A,,12/25/2015 18:20,12 QUEENS,QUEENS,1053206,195711,QUEENS,40.70358957,-73.75129977
32272122,12/25/2015 14:30,12/28/2015 9:52,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11362,,,,,51 AVENUE,248 STREET,INTERSECTION,Little Neck,N/A,,12/28/2015 9:52,11 QUEENS,QUEENS,1057359,217028,QUEENS,40.76206589,-73.73608981
32272438,12/25/2015 14:27,12/25/2015 18:05,NYPD,New York City Police Department,Animal Abuse,Neglected,Residential Building/House,11691,214 BEACH 29 STREET,BEACH 29 STREET,SEAGIRT AVENUE,SEAGIRT BOULEVARD,,,ADDRESS,FAR ROCKAWAY,Precinct,12/25/2015 22:27,12/25/2015 18:05,14 QUEENS,QUEENS,1050354,156209,QUEENS,40.59518733,-73.76197302
32277112,12/25/2015 14:24,12/28/2015 19:53,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10462,2180 WALLACE AVENUE,WALLACE AVENUE,,,,,ADDRESS,BRONX,N/A,,12/28/2015 19:53,11 BRONX,BRONX,1021663,251121,BRONX,40.85586473,-73.86475556
32272391,12/25/2015 14:24,12/26/2015 17:17,DOT,Department of Transportation,Street Condition,Plate Condition - Shifted,Street,11231,VAN BRUNT STREET,VAN BRUNT STREET,KING STREET,SULLIVAN STREET,,,BLOCKFACE,BROOKLYN,N/A,1/4/2016 14:24,12/26/2015 17:17,06 BROOKLYN,BROOKLYN,980923,186337,BROOKLYN,40.67812816,-74.01199473
32272191,12/25/2015 14:23,1/4/2016 9:28,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10028,,,,,MADISON AVENUE,EAST   82 STREET,INTERSECTION,NEW YORK,N/A,1/4/2016 17:00,1/4/2016 9:28,08 MANHATTAN,MANHATTAN,995134,222825,MANHATTAN,40.77827273,-73.96070124
32271225,12/25/2015 14:22,12/25/2015 14:22,DOT,Department of Transportation,Street Condition,Pothole,,11231,12 3 STREET,3 STREET,HOYT STREET,SMITH STREET,,,ADDRESS,BROOKLYN,N/A,,12/25/2015 14:22,06 BROOKLYN,BROOKLYN,985568,186496,BROOKLYN,40.6785651,-73.99524822
32276401,12/25/2015 14:22,,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,10454,674 EAST  136 STREET,EAST  136 STREET,,,,,ADDRESS,BRONX,N/A,,12/25/2015 0:00,01 BRONX,BRONX,1007738,232257,BRONX,40.80413651,-73.91515912
32274704,12/25/2015 14:20,12/31/2015 14:17,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,10025,360 CENTRAL PARK WEST,CENTRAL PARK WEST,,,,,ADDRESS,NEW YORK,N/A,,12/31/2015 14:17,07 MANHATTAN,MANHATTAN,994006,227668,MANHATTAN,40.79156679,-73.96476706
32276346,12/25/2015 14:20,12/31/2015 14:17,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,10025,360 CENTRAL PARK WEST,CENTRAL PARK WEST,,,,,ADDRESS,NEW YORK,N/A,,12/31/2015 14:17,07 MANHATTAN,MANHATTAN,994006,227668,MANHATTAN,40.79156679,-73.96476706
32271404,12/25/2015 14:19,1/3/2016 0:15,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10030,132 WEST  133 STREET,WEST  133 STREET,LENOX AVE,7 AVE,,,ADDRESS,NEW YORK,N/A,,1/3/2016 0:15,10 MANHATTAN,MANHATTAN,999968,235626,MANHATTAN,40.81340072,-73.9432172
32273218,12/25/2015 14:18,12/25/2015 15:26,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,11237,270 BLEECKER STREET,BLEECKER STREET,MYRTLE AVENUE,IRVING AVENUE,,,ADDRESS,BROOKLYN,Precinct,12/25/2015 22:18,12/25/2015 15:26,04 BROOKLYN,BROOKLYN,1007247,194078,BROOKLYN,40.69934617,-73.91706322
32271506,12/25/2015 14:18,12/26/2015 0:15,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10003,6 WASHINGTON SQUARE NORTH,WASHINGTON SQUARE NORTH,UNIVERSITY PLACE,5 AVENUE,,,ADDRESS,NEW YORK,Precinct,12/25/2015 22:18,12/26/2015 0:15,02 MANHATTAN,MANHATTAN,985313,205607,MANHATTAN,40.73102033,-73.99616456
32272753,12/25/2015 14:16,12/25/2015 18:00,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10303,4 ALBERT COURT,ALBERT COURT,WOODCREST RD,ROSECLIFF RD,,,ADDRESS,STATEN ISLAND,N/A,,12/25/2015 18:00,01 STATEN ISLAND,STATEN ISLAND,939196,166893,STATEN ISLAND,40.62464467,-74.16230173
32270942,12/25/2015 14:15,12/25/2015 14:52,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11419,112-01 101 AVENUE,101 AVENUE,112 STREET,113 STREET,,,ADDRESS,SOUTH RICHMOND HILL,Precinct,12/25/2015 22:15,12/25/2015 14:52,09 QUEENS,QUEENS,1030917,190101,QUEENS,40.68833707,-73.83172704
32271386,12/25/2015 14:15,12/30/2015 6:45,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10030,134 WEST  133 STREET,WEST  133 STREET,LENOX AVE,7 AVE,,,ADDRESS,NEW YORK,N/A,,12/30/2015 6:45,10 MANHATTAN,MANHATTAN,999959,235631,MANHATTAN,40.81341446,-73.9432497
32271073,12/25/2015 14:14,12/29/2015 15:45,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,10009,447 EAST   13 STREET,EAST   13 STREET,1 AVE,AVENUE A,,,ADDRESS,NEW YORK,N/A,,12/29/2015 15:45,03 MANHATTAN,MANHATTAN,989237,205315,MANHATTAN,40.73021752,-73.98200647
32272214,12/25/2015 14:13,12/25/2015 15:40,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10473,1863 LAFAYETTE AVENUE,LAFAYETTE AVENUE,LELAND AVENUE,UNDERHILL AVENUE,,,ADDRESS,BRONX,Precinct,12/25/2015 22:13,12/25/2015 15:40,09 BRONX,BRONX,1022748,238663,BRONX,40.82166652,-73.86090491
32271201,12/25/2015 14:12,12/29/2015 14:06,DPR,Department of Parks and Recreation,Maintenance or Facility,Hours of Operation,Park,11234,,,,,,,,BROOKLYN,N/A,12/28/2015 14:12,12/29/2015 14:06,Unspecified BROOKLYN,BROOKLYN,,,BROOKLYN,,
32271414,12/25/2015 14:12,12/25/2015 14:57,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214,1781 80 STREET,80 STREET,NEW UTRECHT AVENUE,18 AVENUE,,,ADDRESS,BROOKLYN,Precinct,12/25/2015 22:12,12/25/2015 14:57,11 BROOKLYN,BROOKLYN,984392,161840,BROOKLYN,40.6108898,-73.99948857
32272517,12/25/2015 14:10,12/25/2015 15:40,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10473,1863 LAFAYETTE AVENUE,LAFAYETTE AVENUE,LELAND AVENUE,UNDERHILL AVENUE,,,ADDRESS,BRONX,Precinct,12/25/2015 22:10,12/25/2015 15:40,09 BRONX,BRONX,1022748,238663,BRONX,40.82166652,-73.86090491
32271510,12/25/2015 14:09,12/25/2015 15:31,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11418,86-14 102 STREET,102 STREET,86 AVENUE,86 ROAD,,,ADDRESS,RICHMOND HILL,Precinct,12/25/2015 22:09,12/25/2015 15:31,09 QUEENS,QUEENS,1027035,192826,QUEENS,40.69583617,-73.84570751
32271790,12/25/2015 14:09,12/28/2015 15:45,DOT,Department of Transportation,Ferry Inquiry,Lost and Found,Terminal,,,,,,,,,,N/A,1/24/2016 14:09,12/28/2015 15:45,0 Unspecified,Unspecified,,,Unspecified,,
32272083,12/25/2015 14:09,12/28/2015 12:00,DSNY,BCC - Brooklyn South,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11215,226 7 AVENUE,7 AVENUE,3 STREET,4 STREET,,,ADDRESS,BROOKLYN,DSNY Garage,,12/28/2015 12:00,06 BROOKLYN,BROOKLYN,990109,183429,BROOKLYN,40.67014504,-73.97887926
32272165,12/25/2015 14:08,12/25/2015 15:03,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,10314,74 BEECHWOOD PLACE,BEECHWOOD PLACE,DONGAN AVENUE,VICTORY BOULEVARD,,,ADDRESS,STATEN ISLAND,Precinct,12/25/2015 22:08,12/25/2015 15:03,01 STATEN ISLAND,STATEN ISLAND,950759,163190,STATEN ISLAND,40.61453197,-74.12062908
32271997,12/25/2015 14:06,1/4/2016 9:31,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Park,10038,,,,,MADISON STREET,OLIVER STREET,INTERSECTION,NEW YORK,N/A,1/4/2016 17:00,1/4/2016 9:31,03 MANHATTAN,MANHATTAN,984868,198667,MANHATTAN,40.71197175,-73.99777081
